article_id,title,content,home_team,away_team,winner,date,has_ceremony
11,Blue Lions Defeats Purple Knights 3-2 in Exciting Match,"In a thrilling game on 2025-03-04, Blue Lions emerged victorious against Purple Knights with a score of 3-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Blue Lions,Blue Lions,2025-03-04,False
12,Red Dragons Defeats Blue Lions 5-0 in Exciting Match,"In a thrilling game on 2024-11-19, Red Dragons emerged victorious against Blue Lions with a score of 5-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Blue Lions will need to regroup before their next match.",Red Dragons,Blue Lions,Red Dragons,2024-11-19,False
13,Red Dragons Defeats Purple Knights 1-0 in Exciting Match,"In a thrilling game on 2025-05-01, Red Dragons emerged victorious against Purple Knights with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Red Dragons,Purple Knights,Red Dragons,2025-05-01,True
14,Blue Lions Defeats Green Giants 2-0 in Exciting Match,"In a thrilling game on 2024-11-02, Blue Lions emerged victorious against Green Giants with a score of 2-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Blue Lions,Blue Lions,2024-11-02,True
15,Red Dragons Defeats Purple Knights 3-2 in Exciting Match,"In a thrilling game on 2024-12-23, Red Dragons emerged victorious against Purple Knights with a score of 3-2. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The stadium was buzzing after the pre-game ceremony. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Red Dragons,Red Dragons,2024-12-23,True
16,Blue Lions Defeats Green Giants 2-1 in Exciting Match,"In a thrilling game on 2024-08-28, Blue Lions emerged victorious against Green Giants with a score of 2-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The pre-game ceremony was a highlight of the evening. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Blue Lions,Blue Lions,2024-08-28,True
17,Blue Lions Defeats Purple Knights 5-3 in Exciting Match,"In a thrilling game on 2024-10-28, Blue Lions emerged victorious against Purple Knights with a score of 5-3. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Blue Lions,Blue Lions,2024-10-28,False
18,Yellow Hornets Defeats Purple Knights 5-1 in Exciting Match,"In a thrilling game on 2024-09-01, Yellow Hornets emerged victorious against Purple Knights with a score of 5-1. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Yellow Hornets,Yellow Hornets,2024-09-01,False
19,Red Dragons Defeats Purple Knights 3-2 in Exciting Match,"In a thrilling game on 2025-02-18, Red Dragons emerged victorious against Purple Knights with a score of 3-2. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Red Dragons,Red Dragons,2025-02-18,False
20,Blue Lions Defeats Red Dragons 2-1 in Exciting Match,"In a thrilling game on 2024-12-09, Blue Lions emerged victorious against Red Dragons with a score of 2-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Red Dragons,Blue Lions,Blue Lions,2024-12-09,False
21,Red Dragons Defeats Yellow Hornets 2-0 in Exciting Match,"In a thrilling game on 2025-04-01, Red Dragons emerged victorious against Yellow Hornets with a score of 2-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Red Dragons,Yellow Hornets,Red Dragons,2025-04-01,False
22,Blue Lions Defeats Red Dragons 1-0 in Exciting Match,"In a thrilling game on 2025-02-16, Blue Lions emerged victorious against Red Dragons with a score of 1-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2025-02-16,False
23,Blue Lions Defeats Yellow Hornets 5-4 in Exciting Match,"In a thrilling game on 2024-10-29, Blue Lions emerged victorious against Yellow Hornets with a score of 5-4. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Blue Lions,Blue Lions,2024-10-29,False
24,Blue Lions Defeats Purple Knights 5-0 in Exciting Match,"In a thrilling game on 2025-01-29, Blue Lions emerged victorious against Purple Knights with a score of 5-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Blue Lions,Purple Knights,Blue Lions,2025-01-29,False
25,Red Dragons Defeats Blue Lions 1-0 in Exciting Match,"In a thrilling game on 2024-10-08, Red Dragons emerged victorious against Blue Lions with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Blue Lions will need to regroup before their next match.",Blue Lions,Red Dragons,Red Dragons,2024-10-08,False
26,Blue Lions Defeats Purple Knights 5-2 in Exciting Match,"In a thrilling game on 2025-02-07, Blue Lions emerged victorious against Purple Knights with a score of 5-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Blue Lions,Purple Knights,Blue Lions,2025-02-07,True
27,Blue Lions Defeats Red Dragons 3-2 in Exciting Match,"In a thrilling game on 2024-12-22, Blue Lions emerged victorious against Red Dragons with a score of 3-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Red Dragons,Blue Lions,Blue Lions,2024-12-22,False
28,Green Giants Defeats Purple Knights 3-1 in Exciting Match,"In a thrilling game on 2025-05-18, Green Giants emerged victorious against Purple Knights with a score of 3-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Green Giants in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Green Giants,Purple Knights,Green Giants,2025-05-18,True
29,Red Dragons Defeats Yellow Hornets 3-2 in Exciting Match,"In a thrilling game on 2025-01-26, Red Dragons emerged victorious against Yellow Hornets with a score of 3-2. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Red Dragons,Yellow Hornets,Red Dragons,2025-01-26,False
30,Yellow Hornets Defeats Purple Knights 3-2 in Exciting Match,"In a thrilling game on 2025-06-15, Yellow Hornets emerged victorious against Purple Knights with a score of 3-2. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Yellow Hornets,Yellow Hornets,2025-06-15,False
31,Blue Lions Defeats Yellow Hornets 1-0 in Exciting Match,"In a thrilling game on 2025-05-24, Blue Lions emerged victorious against Yellow Hornets with a score of 1-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Blue Lions,Blue Lions,2025-05-24,False
32,Red Dragons Defeats Blue Lions 1-0 in Exciting Match,"In a thrilling game on 2025-04-04, Red Dragons emerged victorious against Blue Lions with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Blue Lions will need to regroup before their next match.",Blue Lions,Red Dragons,Red Dragons,2025-04-04,False
33,Red Dragons Defeats Green Giants 1-0 in Exciting Match,"In a thrilling game on 2024-12-18, Red Dragons emerged victorious against Green Giants with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2024-12-18,False
34,Blue Lions Defeats Purple Knights 4-1 in Exciting Match,"In a thrilling game on 2025-04-05, Blue Lions emerged victorious against Purple Knights with a score of 4-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The stadium was buzzing after the pre-game ceremony. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Blue Lions,Blue Lions,2025-04-05,True
35,Green Giants Defeats Red Dragons 4-3 in Exciting Match,"In a thrilling game on 2025-05-29, Green Giants emerged victorious against Red Dragons with a score of 4-3. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Green Giants,Red Dragons,Green Giants,2025-05-29,False
36,Blue Lions Defeats Yellow Hornets 3-0 in Exciting Match,"In a thrilling game on 2025-02-03, Blue Lions emerged victorious against Yellow Hornets with a score of 3-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The stadium was buzzing after the pre-game ceremony. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Blue Lions,Yellow Hornets,Blue Lions,2025-02-03,True
37,Blue Lions Defeats Red Dragons 3-2 in Exciting Match,"In a thrilling game on 2024-09-28, Blue Lions emerged victorious against Red Dragons with a score of 3-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2024-09-28,False
38,Blue Lions Defeats Purple Knights 3-0 in Exciting Match,"In a thrilling game on 2024-12-11, Blue Lions emerged victorious against Purple Knights with a score of 3-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Blue Lions,Purple Knights,Blue Lions,2024-12-11,False
39,Blue Lions Defeats Yellow Hornets 4-1 in Exciting Match,"In a thrilling game on 2025-01-01, Blue Lions emerged victorious against Yellow Hornets with a score of 4-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Blue Lions,Blue Lions,2025-01-01,False
40,Green Giants Defeats Yellow Hornets 5-4 in Exciting Match,"In a thrilling game on 2025-06-09, Green Giants emerged victorious against Yellow Hornets with a score of 5-4. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The stadium was buzzing after the pre-game ceremony. This victory puts Green Giants in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Green Giants,Yellow Hornets,Green Giants,2025-06-09,True
41,Blue Lions Defeats Yellow Hornets 1-0 in Exciting Match,"In a thrilling game on 2025-01-12, Blue Lions emerged victorious against Yellow Hornets with a score of 1-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Blue Lions,Yellow Hornets,Blue Lions,2025-01-12,True
42,Red Dragons Defeats Green Giants 4-2 in Exciting Match,"In a thrilling game on 2024-11-21, Red Dragons emerged victorious against Green Giants with a score of 4-2. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2024-11-21,False
43,Blue Lions Defeats Red Dragons 1-0 in Exciting Match,"In a thrilling game on 2024-11-20, Blue Lions emerged victorious against Red Dragons with a score of 1-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Red Dragons,Blue Lions,Blue Lions,2024-11-20,False
44,Purple Knights Defeats Green Giants 5-1 in Exciting Match,"In a thrilling game on 2024-12-12, Purple Knights emerged victorious against Green Giants with a score of 5-1. The Purple Knights team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Purple Knights in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Purple Knights,Purple Knights,2024-12-12,False
45,Green Giants Defeats Red Dragons 4-0 in Exciting Match,"In a thrilling game on 2025-06-06, Green Giants emerged victorious against Red Dragons with a score of 4-0. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The stadium was buzzing after the pre-game ceremony. This victory puts Green Giants in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Green Giants,Red Dragons,Green Giants,2025-06-06,True
46,Green Giants Defeats Purple Knights 1-0 in Exciting Match,"In a thrilling game on 2024-10-28, Green Giants emerged victorious against Purple Knights with a score of 1-0. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Green Giants in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Green Giants,Green Giants,2024-10-28,True
47,Blue Lions Defeats Yellow Hornets 3-1 in Exciting Match,"In a thrilling game on 2025-03-25, Blue Lions emerged victorious against Yellow Hornets with a score of 3-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Blue Lions,Yellow Hornets,Blue Lions,2025-03-25,True
48,Yellow Hornets Defeats Green Giants 4-3 in Exciting Match,"In a thrilling game on 2024-09-12, Yellow Hornets emerged victorious against Green Giants with a score of 4-3. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Yellow Hornets,Green Giants,Yellow Hornets,2024-09-12,False
49,Yellow Hornets Defeats Red Dragons 5-3 in Exciting Match,"In a thrilling game on 2025-05-23, Yellow Hornets emerged victorious against Red Dragons with a score of 5-3. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Yellow Hornets,Red Dragons,Yellow Hornets,2025-05-23,False
50,Red Dragons Defeats Purple Knights 5-1 in Exciting Match,"In a thrilling game on 2025-01-31, Red Dragons emerged victorious against Purple Knights with a score of 5-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Red Dragons,Purple Knights,Red Dragons,2025-01-31,True
51,Green Giants Defeats Yellow Hornets 2-0 in Exciting Match,"In a thrilling game on 2025-03-02, Green Giants emerged victorious against Yellow Hornets with a score of 2-0. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Green Giants,Yellow Hornets,Green Giants,2025-03-02,False
52,Blue Lions Defeats Purple Knights 5-3 in Exciting Match,"In a thrilling game on 2024-10-29, Blue Lions emerged victorious against Purple Knights with a score of 5-3. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Blue Lions,Purple Knights,Blue Lions,2024-10-29,True
53,Blue Lions Defeats Green Giants 2-0 in Exciting Match,"In a thrilling game on 2024-09-14, Blue Lions emerged victorious against Green Giants with a score of 2-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The pre-game ceremony was a highlight of the evening. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Blue Lions,Green Giants,Blue Lions,2024-09-14,True
54,Green Giants Defeats Purple Knights 3-0 in Exciting Match,"In a thrilling game on 2025-01-30, Green Giants emerged victorious against Purple Knights with a score of 3-0. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The stadium was buzzing after the pre-game ceremony. This victory puts Green Giants in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Green Giants,Green Giants,2025-01-30,True
55,Green Giants Defeats Red Dragons 5-1 in Exciting Match,"In a thrilling game on 2024-10-30, Green Giants emerged victorious against Red Dragons with a score of 5-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Green Giants,Red Dragons,Green Giants,2024-10-30,False
56,Red Dragons Defeats Yellow Hornets 2-1 in Exciting Match,"In a thrilling game on 2024-11-10, Red Dragons emerged victorious against Yellow Hornets with a score of 2-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Red Dragons,Yellow Hornets,Red Dragons,2024-11-10,False
57,Green Giants Defeats Blue Lions 2-1 in Exciting Match,"In a thrilling game on 2025-03-25, Green Giants emerged victorious against Blue Lions with a score of 2-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Blue Lions will need to regroup before their next match.",Green Giants,Blue Lions,Green Giants,2025-03-25,False
58,Blue Lions Defeats Red Dragons 2-1 in Exciting Match,"In a thrilling game on 2024-09-06, Blue Lions emerged victorious against Red Dragons with a score of 2-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2024-09-06,True
59,Blue Lions Defeats Purple Knights 2-1 in Exciting Match,"In a thrilling game on 2025-08-11, Blue Lions emerged victorious against Purple Knights with a score of 2-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Blue Lions,Purple Knights,Blue Lions,2025-08-11,True
60,Purple Knights Defeats Green Giants 4-1 in Exciting Match,"In a thrilling game on 2025-05-04, Purple Knights emerged victorious against Green Giants with a score of 4-1. The Purple Knights team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Purple Knights in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Purple Knights,Purple Knights,2025-05-04,False
61,Blue Lions Defeats Green Giants 4-1 in Exciting Match,"In a thrilling game on 2025-07-18, Blue Lions emerged victorious against Green Giants with a score of 4-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Blue Lions,Blue Lions,2025-07-18,False
62,Green Giants Defeats Yellow Hornets 1-0 in Exciting Match,"In a thrilling game on 2025-02-11, Green Giants emerged victorious against Yellow Hornets with a score of 1-0. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Green Giants,Yellow Hornets,Green Giants,2025-02-11,False
63,Purple Knights Defeats Green Giants 3-2 in Exciting Match,"In a thrilling game on 2025-06-08, Purple Knights emerged victorious against Green Giants with a score of 3-2. The Purple Knights team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Purple Knights in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Purple Knights,Green Giants,Purple Knights,2025-06-08,False
64,Red Dragons Defeats Yellow Hornets 1-0 in Exciting Match,"In a thrilling game on 2025-07-30, Red Dragons emerged victorious against Yellow Hornets with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The pre-game ceremony was a highlight of the evening. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Red Dragons,Yellow Hornets,Red Dragons,2025-07-30,True
65,Yellow Hornets Defeats Blue Lions 5-1 in Exciting Match,"In a thrilling game on 2025-05-05, Yellow Hornets emerged victorious against Blue Lions with a score of 5-1. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Blue Lions will need to regroup before their next match.",Yellow Hornets,Blue Lions,Yellow Hornets,2025-05-05,False
66,Blue Lions Defeats Red Dragons 5-4 in Exciting Match,"In a thrilling game on 2024-12-31, Blue Lions emerged victorious against Red Dragons with a score of 5-4. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2024-12-31,True
67,Red Dragons Defeats Purple Knights 2-1 in Exciting Match,"In a thrilling game on 2025-06-05, Red Dragons emerged victorious against Purple Knights with a score of 2-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Red Dragons,Purple Knights,Red Dragons,2025-06-05,False
68,Yellow Hornets Defeats Purple Knights 2-1 in Exciting Match,"In a thrilling game on 2025-07-21, Yellow Hornets emerged victorious against Purple Knights with a score of 2-1. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Yellow Hornets,Yellow Hornets,2025-07-21,False
69,Blue Lions Defeats Green Giants 4-2 in Exciting Match,"In a thrilling game on 2025-04-20, Blue Lions emerged victorious against Green Giants with a score of 4-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Blue Lions,Green Giants,Blue Lions,2025-04-20,False
70,Red Dragons Defeats Purple Knights 3-0 in Exciting Match,"In a thrilling game on 2025-07-05, Red Dragons emerged victorious against Purple Knights with a score of 3-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Red Dragons,Purple Knights,Red Dragons,2025-07-05,False
71,Green Giants Defeats Yellow Hornets 3-2 in Exciting Match,"In a thrilling game on 2025-03-24, Green Giants emerged victorious against Yellow Hornets with a score of 3-2. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Green Giants in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Green Giants,Green Giants,2025-03-24,True
